Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.92053,141.58233,98,,,,,,,,,5.23
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.11133,140.92789,128,,,,,,,,,5.25
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96881,140.90536,133,,,,,,,,,5.26
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.43081,141.24503,99,,,,,,,,,1.8
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42547,141.36269,89,,,,,,,,,1.82
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.43831,141.24428,100,,,,,,,,,1.85
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.04372,140.88795,133,,,,,,,,,1.85
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42744,141.35083,90,,,,,,,,,1.88
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12358,140.89525,131,,,,,,,,,1.89
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42472,141.23631,100,,,,,,,,,2.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42044,141.23403,100,,,,,,,,,2.58
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41644,141.21186,102,,,,,,,,,2.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22511,140.96544,123,,,,,,,,,2.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16669,140.93156,127,,,,,,,,,2.62
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24916,140.98892,121,,,,,,,,,2.65
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.419,141.21486,102,,,,,,,,,2.68
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12053,140.90219,130,,,,,,,,,2.69
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42383,141.31063,94,,,,,,,,,2.7
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32852,141.1555,106,,,,,,,,,7.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90708,141.57664,97,,,,,,,,,4.91
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.3347,141.1641,106,,,,,,,,,7.02
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41464,141.32339,92,,,,,,,,,5.27
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.89017,141.57769,96,,,,,,,,,5.28
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22392,140.98447,122,,,,,,,,,5.3
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.27192,140.99817,120,,,,,,,,,5.3
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.13778,140.93097,127,,,,,,,,,5.31
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.26167,140.99367,120,,,,,,,,,5.33
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.92472,140.89594,136,,,,,,,,,5.35
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.30639,141.41867,83,,,,,,,,,5.38
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12478,140.93583,127,,,,,,,,,5.39
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90767,141.57094,97,,,,,,,,,5.42
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.94533,140.89683,135,,,,,,,,,6.08
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.98797,140.90061,133,,,,,,,,,6.12
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29636,141.424,83,,,,,,,,,6.12
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24428,140.96586,123,,,,,,,,,2.36
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.31778,141.01936,118,,,,,,,,,2.36
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41419,141.37875,88,,,,,,,,,2.36
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.55197,141.40906,89,,,,,,,,,2.36
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.17939,140.93667,126,,,,,,,,,2.37
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36953,141.06222,115,,,,,,,,,2.41
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.40578,141.15656,107,,,,,,,,,2.41
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.99172,140.88836,134,,,,,,,,,2.43
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42394,141.36469,89,,,,,,,,,2.44
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12547,140.91031,129,,,,,,,,,2.44
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.14408,140.93347,127,,,,,,,,,3.42
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96714,140.89019,135,,,,,,,,,3.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.91261,141.57974,97,,,,,,,,,6.34
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32002,141.01783,118,,,,,,,,,2.67
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96929,140.8824,135,,,,,,,,,2.93
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29097,140.98437,121,,,,,,,,,3.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.26767,140.97356,122,,,,,,,,,3.1
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29098,141.04633,116,,,,,,,,,3.23
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.25579,140.96319,123,,,,,,,,,3.28
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.51844,141.46606,83,,,,,,,,,18.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.44058,141.45239,82,,,,,,,,,23.24
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24125,140.98614,121,,,,,,,,,4.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.60475,141.50644,83,,,,,,,,,4.57
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.84461,141.58236,92,,,,,,,,,6.21
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.35352,141.1571,106,,,,,,,,,6.21
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.38761,141.19236,103,,,,,,,,,6.23
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.91075,141.58828,97,,,,,,,,,6.24
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.04503,140.91633,130,,,,,,,,,6.24
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41297,141.32006,93,,,,,,,,,6.26
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.21897,140.96008,124,,,,,,,,,3.99
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28478,140.99947,120,,,,,,,,,3.99
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96767,140.89114,135,,,,,,,,,4
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28828,141.03789,117,,,,,,,,,4.01
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22522,140.96925,123,,,,,,,,,4.01
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.83881,141.58922,91,,,,,,,,,4.01
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24294,140.98703,121,,,,,,,,,4.01
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.91128,141.57903,97,,,,,,,,,4.03
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.19875,140.94931,125,,,,,,,,,4.03
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22881,140.96567,123,,,,,,,,,4.04
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36958,141.13972,108,,,,,,,,,4.04
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.17778,140.92489,127,,,,,,,,,4.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36903,141.13914,108,,,,,,,,,4.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.13531,140.93933,127,,,,,,,,,6.34
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.88944,141.58536,95,,,,,,,,,6.37
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.99144,140.9045,133,,,,,,,,,6.37
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.17714,140.95109,125,,,,,,,,,6.4
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.35131,141.44161,81,,,,,,,,,6.44
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.27783,141.02367,118,,,,,,,,,6.45
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.37792,141.15811,106,,,,,,,,,6.45
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.86867,141.57814,94,,,,,,,,,6.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.26286,141.01908,118,,,,,,,,,6.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42044,141.21414,102,,,,,,,,,2.93
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41467,141.2295,101,,,,,,,,,2.93
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.37725,141.09975,111,,,,,,,,,2.46
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42031,141.21972,102,,,,,,,,,2.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.44826,141.29439,96,,,,,,,,,2.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.09692,140.89933,131,,,,,,,,,2.49
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.22255,140.98569,121,,,,,,,,,2.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.2491,140.98363,121,,,,,,,,,2.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.34064,141.14347,107,,,,,,,,,2.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41972,141.20986,102,,,,,,,,,2.51
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.09886,140.90694,130,,,,,,,,,2.51
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.33858,141.03717,117,,,,,,,,,2.52
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.8939,141.56411,97,,,,,,,,,3.35
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28825,140.99944,120,,,,,,,,,3.42
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.08294,140.92352,129,,,,,,,,,3.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.229,140.95619,124,,,,,,,,,3.51
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28725,141.00392,120,,,,,,,,,3.51
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42836,141.26644,98,,,,,,,,,3.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29544,141.01689,118,,,,,,,,,3.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29008,141.06003,115,,,,,,,,,3.66
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96883,140.90014,134,,,,,,,,,3.68
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.26103,140.98575,121,,,,,,,,,3.7
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.01006,140.89461,133,,,,,,,,,2.46
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.15406,140.89625,130,,,,,,,,,2.06
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.27428,141.02147,118,,,,,,,,,6.95
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.9505,140.89561,135,,,,,,,,,6.96
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.93428,140.90153,135,,,,,,,,,6.97
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.63483,141.51036,84,,,,,,,,,6.98
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.88619,141.58403,95,,,,,,,,,6.99
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41678,141.30058,94,,,,,,,,,7
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.95914,140.91194,133,,,,,,,,,7.01
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90622,141.58814,96,,,,,,,,,7.02
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.17189,140.95192,125,,,,,,,,,7.04
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36292,141.43264,82,,,,,,,,,7.09
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.85975,141.57597,93,,,,,,,,,7.15
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.25806,141.00022,120,,,,,,,,,7.26
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.33433,141.09053,112,,,,,,,,,7.28
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.13169,140.93389,127,,,,,,,,,6.64
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.85614,141.57289,93,,,,,,,,,6.66
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.30469,141.08342,113,,,,,,,,,6.74
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.27511,141.02336,118,,,,,,,,,6.76
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.0398,140.91636,131,,,,,,,,,6.81
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.51911,141.41486,87,,,,,,,,,6.87
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.88414,141.57756,95,,,,,,,,,6.92
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.85453,141.57858,93,,,,,,,,,6.95
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.88908,141.58142,95,,,,,,,,,6.98
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.52294,141.40381,88,,,,,,,,,7.13
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.21622,140.947,125,,,,,,,,,2.54
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42156,141.21081,102,,,,,,,,,2.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.09022,140.90022,131,,,,,,,,,2.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.11336,140.90914,130,,,,,,,,,2.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.12047,140.90514,130,,,,,,,,,2.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.15858,140.90981,129,,,,,,,,,2.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.10614,140.90303,130,,,,,,,,,2.58
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41139,141.36811,89,,,,,,,,,2.58
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16761,140.92017,128,,,,,,,,,2.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16903,140.92111,128,,,,,,,,,2.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41933,141.36633,89,,,,,,,,,2.59
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42497,141.32308,93,,,,,,,,,2.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.33499,141.47346,79,,,,,,,,,7.32
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.54588,141.42549,87,,,,,,,,,7.44
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28969,141.06544,114,,,,,,,,,9.33
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.38592,141.10817,111,,,,,,,,,2.72
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36383,141.06081,115,,,,,,,,,2.74
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42528,141.32244,93,,,,,,,,,2.75
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.04042,140.90611,131,,,,,,,,,5.46
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29386,141.01617,118,,,,,,,,,2.53
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.38531,141.1595,106,,,,,,,,,2.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.31647,141.03178,117,,,,,,,,,2.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.34989,141.05155,115,,,,,,,,,6.33
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24908,140.9888,121,,,,,,,,,2.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.24308,140.96747,123,,,,,,,,,2.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.73792,141.53069,88,,,,,,,,,12.68
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.91516,141.65015,93,,,,,,,,,13.35
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.35383,141.44453,81,,,,,,,,,4.42
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.03883,140.91626,131,,,,,,,,,5.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90242,141.58872,96,,,,,,,,,5.66
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.37217,141.45628,80,,,,,,,,,5.96
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.27464,141.01092,119,,,,,,,,,7.28
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.25517,140.99025,121,,,,,,,,,4.16
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.36942,141.14861,107,,,,,,,,,4.16
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.98622,140.89292,134,,,,,,,,,4.17
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.28428,141.01442,119,,,,,,,,,3.57
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.42111,141.35464,90,,,,,,,,,3.58
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.14597,140.92533,128,,,,,,,,,3.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32131,141.46889,79,,,,,,,,,7.48
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.92228,140.89094,136,,,,,,,,,7.52
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.32225,141.46967,79,,,,,,,,,7.55
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.908,141.57631,97,,,,,,,,,7.56
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.86864,141.57458,94,,,,,,,,,7.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90519,141.57542,97,,,,,,,,,7.64
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.86897,141.57167,94,,,,,,,,,7.69
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16706,140.956,125,,,,,,,,,7.72
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.92147,140.89836,136,,,,,,,,,5.52
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38,140.87969,135,,,,,,,,,2.62
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16494,140.91153,129,,,,,,,,,2.63
